sentence	label
 greater off staying on the festival circuit	2
in a joyous communal festival of rhythm 	1
because it was particularly funny 	1
 it 's a droll little movie with shrewd dialogue and likeable characters	3
, it could have been a thinking man 's monster movie 	0
it 's supposed to be a romantic comedy 	0
more fun watching spy than i had with most of the big summer movies 	1
is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs 	1
the modern rut of narrative banality 	0
 the utter authority of a genre perla	3
 is almost entirely knucklehead and paltry , carrying every gag two or three times beyond its limit to upholding a laugh	2
is best when illustrating the demons bedevilling the modern masculine journey . 	1
high production values 	1
 topics that could make a sailor blush but lots of chuckles	3
's awfully entertaining 	1
predictability is the only winner 	0
is a former film editor 	1
a slight but sweet film . 	1
 too far forced dramas in this brutally lopsided film , about a young bloke 's bataille with his inexorable past and volatile futures in a highly shapable but especially unfulfilling introduces	2
 kwan is a dominus of shadow , quietude , and room noisy	3
shine 	1
the milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch 	0
 a degree of ailment rather than revulsion	3
what it is supposed to be , but ca n't really call it a work of art 	0
's a great american adventure and a wonderful film to bring to imax 	1
 reverent , and tactfully dissimilar	3
 can smell the lubricating on the plot	2
 a upper note	3
 capped and	2
a smart , arch and rather cold-blooded comedy . 	1
 narrower than many movies	3
of watching sad but endearing characters do extremely unconventional things 	1
the best and most mature comedy of the 2002 summer season speaks more of the season than the picture 	1
of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating 	0
marks to take on any life of its own 	0
 its own directives	3
to enjoy the perfectly pitched web of tension that chabrol spins 	1
expresses our most basic emotions 	1
any thinking person is bound to appreciate 	1
 an whopping roster	3
 using an endearing casting , writer manager dover kosashvili picked a slightly dim stare at relationships , both sexual and kindred	3
are , with the drumming routines , among the film 's saving graces . 	1
 made me unintentionally proverbial	3
 have droll with the idiosyncrasies of family life	3
nearly every attempt at humor here is doa . 	0
 wantonly and skilfully consumes confusion to suggest potentials which infuse the themes with addendum depths and resonant	3
no idea of it is serious 	0
huge gap 	0
